Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,,,,,
2/27/2025 12:02:11,Felicitación,Préstamo de Equipo Informático,PRÉSTAMO DE COMPUTADORA,BIEN CUIDADAS:),Unidad de Informática,Unidad de Informática,,,,,
2/27/2025 12:02:11,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo en aula de uso libre,Buen servicio ,Unidad de Informática,Unidad de Informática,,,,,
2/27/2025 13:27:28,Felicitación,Servicios Bibliotecarios,Prestacion de PC,Buen servicio,Departamento de Ciencias e Ingeniería de la Computación,Depto. de Servicios Estudiantiles,,,,,
3/3/2025 13:23:45,Felicitación,Préstamo de Equipo Informático,RENTA DE MÁQUINA,Buenas compus,Departamento de Servicios Estudiantiles,Unidad de Informática,,,,,
3/3/2025 15:59:47,Felicitación,Utilización de equipo,Utilizar una máquina para hacer tarea,Buen servicio,Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 11:39:41,Felicitación,Servicio Social,Ninguno ,Ninguno ,Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 11:40:47,Felicitación,Préstamo de Equipo Informático,Uso de una equipo de cómputo para poder modificar un documento ,"Ninguna queja, buena atención y el equipo en un inicio mostraba complicaciones con Word pero después funcionó correctamente ",Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 14:10:49,Felicitación,Préstamo de Equipo Informático,Uso de equipo de cómputo de uso libre,Facilidad de uso,Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 14:27:59,Felicitación,Salón de uso libre,Maquina prestada,Buen función,Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 18:10:59,Felicitación,Préstamo de Equipo Informático,Préstamo computadora,Todo bien,Unidad de Informática,Unidad de Informática,,,,,
3/4/2025 18:19:34,Felicitación,Tarea,Préstamo de equipo de cómputo ,Ninguno,Unidad de Informática,Unidad de Informática,,,,,
3/5/2025 11:48:14,Sugerencia,Préstamo de Equipo Informático,Prestamo de maquina,El mousse de la máquina 2 presenta problemas en el click izquierdo,Unidad de Informática,Unidad de Informática,,,,,
3/5/2025 11:58:06,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Perfecto ,Ninguna ,Dirección,Unidad de Informática,,,,,
3/5/2025 13:29:11,Sugerencia,Tutorías,Prestamo,Todo bien,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,,,,
3/5/2025 13:38:20,Felicitación,Actualización y Capacitación Docentes,No se,Nada ,Unidad Politécnica de Integración Social,Innovación Educativa,,,,,
3/6/2025 8:22:44,Felicitación,Uso de computo ,La computadora ,Muy amable ,Unidad de Informática,Unidad de Informática,,,,,
3/6/2025 12:04:51,Sugerencia,Gestión del Diseño de Programas de Estudio,Nada ,Nada ,Subdirección de Servicios Educativos e Integración Social,,,,,,
3/6/2025 14:57:22,Sugerencia,Concurso de Exámenes de Oposición de Cátedra,Na,Na,Unidad de Informática,,,,,,
3/7/2025 16:16:33,Queja,No se me ha atendido. ,Biblioteca ,"Hoy, 7 de marzo, pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm. Ya son las 4:15 y aún no han abierto. Quiero revisar un asunto de urgencia del SAES. ",,Depto. de Servicios Estudiantiles,,,,,
3/10/2025 11:49:18,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Uso de computadora,Ninguna ,Unidad de Informática,Unidad de Informática,,,,,
3/10/2025 11:55:31,Sugerencia,Préstamo de Equipo Informático,Uso de computadora de laboratorio ,La máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso,Unidad de Informática,Unidad de Informática,,,,,
3/10/2025 12:14:46,Felicitación,Préstamo de Equipo Informático,Préstamo de computo,Excelente ,Departamento de Recursos Materiales y Servicios,Unidad de Informática,,,,,
3/11/2025 9:16:32,Queja,Préstamo de Equipo Informático,Préstamo máquina 32,"No tiene internet, posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet ",Departamento de Recursos Materiales y Servicios,Unidad de Informática,,,,,
3/11/2025 9:16:50,Sugerencia,Préstamo de Equipo Informático,Prestamo maquina 31,Estaría bien poner Linux y Windows en todas las compus,Departamento de Recursos Materiales y Servicios,Unidad de Informática,,,,,
3/11/2025 15:57:55,Sugerencia,Préstamo de Equipo Informático,Prestamo de equipo de computo,"El servicio se llevo correctamente
Como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas Al estar bloqueado El administrador de tareas",Unidad de Tecnología Educativa y Campus Virtual,Unidad de Informática,,,,,
3/12/2025 12:01:45,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno ,Ninguna ,Dirección,Innovación Educativa,,,,,
3/12/2025 13:32:20,Felicitación,Inscripción,Uso de equipo ,Felicitación por el uso del equipo ,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,,,,,
3/13/2025 11:46:52,Felicitación,Préstamo de Equipo Informático,Computadora ,Bien,Unidad de Informática,Unidad de Informática,,,,,
3/14/2025 10:14:11,Felicitación,Préstamo de Equipo Informático,Prestamo,Todo bn,Unidad de Informática,Unidad de Informática,,,,,
3/14/2025 11:42:12,Felicitación,Préstamo de Equipo Informático,Préstamo tiempo libre,Buenos equipos de cómputo ,Unidad de Informática,Unidad de Informática,,,,,
3/14/2025 13:56:28,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo,Todo muy bien,Unidad de Informática,Unidad de Informática,,,,,
3/14/2025 15:02:11,Felicitación,Uso de laboratorios ,Presto de laboratorio ,"Muy bien equipo, internet y cuenta con los programas que necesito",Unidad de Informática,Unidad de Informática,,,,,
3/18/2025 11:48:51,Felicitación,Préstamo de Equipo Informático,Prestamo,Todo bn,Unidad de Informática,Unidad de Informática,,,,,
3/18/2025 11:53:15,Sugerencia,Préstamo de Equipo Informático,Computadora,No tienen Ubuntu.,Unidad de Informática,Unidad de Informática,,,,,
3/19/2025 11:43:02,Felicitación,Préstamo de Equipo Informático,Una computadora ,Muy buen servicio ,Unidad de Informática,Unidad de Informática,,,,,
3/19/2025 11:43:17,Felicitación,Préstamo de Equipo Informático,Una computadora ,Felicitación por mantener los equipos en buen estado,Unidad de Informática,Unidad de Informática,,,,,
3/19/2025 11:58:28,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno,Ninguna ,Dirección,Unidad de Informática,,,,,
3/20/2025 13:31:03,Felicitación,Préstamo de Equipo Informático,Computadora ,Felicitaciones ,Unidad de Informática,Unidad de Informática,,,,,
3/20/2025 13:31:40,Felicitación,Gestión para las Prácticas y/o Visitas Escolares,.,.,,Depto. de Evaluación y Seguimiento Académico,,,,,
3/20/2025 15:21:48,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Prestacion de equipo,Ninguna,Dirección,Unidad de Informática,,,,,
3/21/2025 14:54:13,Felicitación,Préstamo de Equipo Informático,Compus,Felicitacion,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,,,,,
3/27/2025 9:15:38,Felicitación,Préstamo de Equipo Informático,Ninguno ,Ninguno ,Unidad de Informática,Unidad de Informática,,,,,
3/28/2025 14:47:26,Felicitación,Uso lab,Prestamo de laboratorio ,Préstamo lab,Unidad de Informática,Unidad de Informática,,,,,
3/28/2025 14:48:20,Sugerencia,Laboratorio ,Laboratorio ,Ninguna,Unidad de Informática,Unidad de Informática,,,,,
4/2/2025 12:02:52,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ys,Jw,Dirección,,,,,,
4/4/2025 11:59:07,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Yeye,6363,Subdirección de Servicios Educativos e Integración Social,,,,,,
4/4/2025 12:11:59,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Laboratoire heoa libre,Todo bien,Dirección,,,,,,
4/7/2025 13:41:27,Felicitación,Préstamo de Equipo Informático,Computadoras,Ninguna ,Unidad de Informática,,,,,,
4/8/2025 12:32:54,Sugerencia,Uso de equipo de cómputo ,Uso de equipo,"Me gustó, las computadoras están bien, los periféricos pero el Mouse a veces falla de la ruedita ",Unidad de Informática,,,,,,
4/9/2025 8:22:04,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ud,Jdjd,Dirección,,,,,,
4/11/2025 15:01:14,Felicitación,Lab,Prestamo,Felicidades ,Unidad de Informática,,,,,,
4/14/2025 12:36:54,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Todo bien,Gracias,Dirección,,,,,,
4/14/2025 13:12:19,Felicitación,Préstamo de Equipo Informático,Uso libre de PC,El servicio estuvo bien,Unidad de Informática,,,,,,
4/15/2025 14:55:30,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo (lab de uso libre),Ha mejorado el rendimiento de más computadoras,Unidad de Informática,,,,,,
4/15/2025 15:09:01,Felicitación,Gestión de la Movilidad Académica,Comparación de materias del mapa curricular con materias en la institución destino,"El trámite fue sencillo, me atendieron con una buena actitud y muy comprensivos y directos, totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación.",Departamento de Innovación Educativa,,,,,,
4/16/2025 9:06:12,Felicitación,Préstamo de Equipo Informático,Préstamo de una computadora ,Todo bien,Unidad de Informática,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4/30/2025 11:52:30,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno ,Ninguno ,Dirección,Innovación educativa,,,,,
4/30/2025 13:55:07,Sugerencia,Préstamo de Equipo Informático,Computadora ,Todo bien,Unidad de Informática,Unidad de Informática,,,,,
4/30/2025 14:48:22,Felicitación,Préstamo de Equipo Informático,Acceso al laboratorio de uso libre,Muy buen servicio,Unidad de Informática,Unidad de Informática,,,,,
4/30/2025 14:56:33,Felicitación,Préstamo de Equipo Informático,Bien,Ninguna,Unidad de Informática,Unidad de Informática,,,,,
5/8/2025 10:12:11,Queja,Actividades Culturales y/o Deportivas,Horarios e información sobre actividades deportivas ,"La mayoría de los horarios y días sobre las actividades deportivas están mal 
",,Departamento de Servicios Estudiantiles,,,,,
5/9/2025 14:57:31,Felicitación,Laboratorio ,Préstamo lab,Buenas maquinas ,Unidad de Informática,Unidad de Informática,,,,,
5/9/2025 14:58:42,Felicitación,Tutorías,Ni hay,Felitqcion,,Departamento de evaluación y seguimiento académico,,,,,
5/20/2025 14:53:17,Felicitación,Préstamo de laboratorio,Préstamo de laboratorio ,Buenas maquinas y conexion a internet ,Unidad de Informática,Unidad de Informática,,,,,
5/21/2025 12:11:13,Felicitación,Planeación Didáctica,Computadora ,Buena coordinación ,Unidad de Informática,Unidad de Informática,,,,,
5/21/2025 12:11:26,Felicitación,Préstamo de computo ,Todo good,Felicidades ,Unidad de Informática,Unidad de Informática,,,,,
5/21/2025 12:12:07,Felicitación,Computadora ,Solicitación de computadora ,Felicitaciones ,Unidad de Informática,Unidad de Informática,,,,,
5/27/2025 13:34:31,Felicitación,Servicios Bibliotecarios,Laboratorio ,Equipo funcional ,Unidad Politécnica de Integración Social,Departamento de Servicios Estudiantiles,,,,,
6/5/2025 12:05:11,Felicitación,Servicios Bibliotecarios,Ninguno ,Ninguna ,Unidad de Informática,,,,,,
6/12/2025 13:33:51,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo  de cómputo en buen estado ,Se me atendió de la mejor manera ,Unidad de Informática,,,,,,
6/13/2025 12:02:35,Felicitación,Préstamo de Equipo Informático,Conputadora,Buena atención,Unidad de Informática,,,,,,
6/13/2025 12:02:42,Felicitación,Préstamo de equipo informatico,Uso de equipo informatico,Todo bien,Departamento de Servicios Estudiantiles,,,,,,
6/13/2025 13:21:15,Felicitación,Computadoras ,Préstamo ,Todo bien,Unidad de Informática,,,,,,
6/20/2025 13:28:28,Sugerencia,Gestión del Diseño de Programas de Estudio,Computadora,Agregar más programas ,Departamento de Formación Básica,,,,,,
6/25/2025 13:00:20,Felicitación,Gestión de la Acreditación de Programas Académicos,Nada,Encuesta equivocada ,Departamento de Gestión Escolar,,,,,,
6/25/2025 13:01:16,Felicitación,Préstamo de Equipo Informático,Buenos ,"Felicitacion, atienden bien ",Unidad de Informática,,,,,,
6/25/2025 13:35:47,Sugerencia,Gestión del Diseño de Programas de Estudio,Nada ,Nada ,Subdirección Académica,,,,,,
6/25/2025 13:36:06,Felicitación,Control de Información Documentada,….,Ninguna ,Unidad de Informática,,,,,,
7/2/2025 11:09:52,Felicitación,Préstamo de Equipo Informático,Uso de equipo,Muy buena atención ,Unidad de Informática,,,,,,
7/2/2025 14:14:09,Felicitación,Prácticas Académicas de Laboratorios y Talleres,Uso de computo ,Todo bien ,Departamento de Extensión y Apoyos Educativos,,,,,,
7/3/2025 18:55:38,Felicitación,Dictamen de baja por cambio de carrera,Dictamen de baja por cambio de carrera y dictamen de cambio de carrera a escom,"QUIERO FELICITAR A YADHIRA DE GESTION ESCOLAT AUE EL DIA DE HOY ME ATENDIO EN LA VENTANILLA Y FUE MUY AMABLE Y ATENTA, ME SOLUCIONO MI SOLICITUD CON UNA EXCELENTE ACTITUD. ENHORABUENA, DESEO QUE LOS DEMAS ADMINISTRATIVOS ME ATENDIESEN COMO ELLA LO HIZO",Departamento de Gestión Escolar,,,,,,
7/11/2025 18:06:07,Felicitación,Gestión de la Movilidad Académica,"Seguimiento de llenado de nuestros documentos faltantes para realizar una correcta movilidad académica, en nuestro caso PROMAN. De modo que nos brindó su apoyo para saber qué materias son revalidables en este procedimiento. Además de darnos consejos y solución a dudas propuestas de este mismo procedimiento.","Mucha paciencia y atención increíble por su parte, quedó muy agradecido con el Maestro Efrén!",Departamento de Innovación Educativa,,,,,,
7/18/2025 13:20:02,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora ,Muy buen trato ,Unidad de Informática,,,,,,
7/18/2025 13:20:33,Felicitación,Préstamo de Equipo Informático,Equipo de uso libre ,"Ninguna, muchas gracias ",Unidad de Informática,,,,,,
8/25/2025 11:31:38,Felicitación,Planeación Didáctica,Administración Financiera,Mosso es bastante atento,Dirección,,,,,,
8/25/2025 11:32:08,Felicitación,Reinscripción,Apoyo de reinscripcion ,Todo muy bien ,Departamento de Gestión Escolar,,,,,,
8/25/2025 11:32:20,Felicitación,Felicitación ,Foto con chango ,Excelente chango,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:32:23,Felicitación,Felicitaciones ,Tomarse una foto con un chango,Me gustaría felicitarlos por ese gran chango,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:33:05,Felicitación,Gestión de la Titulación Profesional,Procedimiento eficiente ,Felicitación por la facilitación del proceso y eficiencia,Subdirección de Servicios Educativos e Integración Social,,,,,,
8/25/2025 11:33:43,Felicitación,Reinscripción,Apoyo en la reinscripción de materias,Servicio rápido y atento,Subdirección Administrativa,,,,,,
8/25/2025 11:35:00,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Actividad,Se deben incorporar más materias a las clases virtuales,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:35:09,Felicitación,Reinscripción,Información sobre información de desfase ,Felicitacion buena información ,Departamento de Gestión Escolar,,,,,,
8/25/2025 11:35:17,Felicitación,Por un buen trabajo,Ayuda general,Muy buen trabajo,Dirección,,,,,,
8/25/2025 11:35:30,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,-,Poner cortinas en otros salones,Subdirección Administrativa,,,,,,
8/25/2025 11:35:30,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Cambio de salones ,El cambio de salones que hicieron está horrible ,Dirección,,,,,,
8/25/2025 11:35:47,Felicitación,Gestión del Diseño de Programas de Estudio,Muy bien logrado el diseño de programas de estudio,Pienso que está muy bien el diseño de programas,Dirección,,,,,,
8/25/2025 11:36:14,Felicitación,Actividad curricular ,Clase,Buena actividad para integrar al grupo y los equipos.,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:18,Felicitación,Solo dar una felicitación por haberle dado oportunidad a los que deben calculo para pasar la materia :),Actividad integradora ,Simplemente una felicitación ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:20,Sugerencia,Logística en distribución de salones,Distribución de salones,La distribución de salones de este semestre es confusa,Dirección,,,,,,
8/25/2025 11:36:20,Sugerencia,Actividades Culturales y/o Deportivas,Gimnasio al aire libre ,Que no sea al aire libre,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:24,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Actividad ,Buena opción la de juntar a las carreras pasa que se puede convivir con todos ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:32,Queja,Gestión del Diseño Curricular de Programas Académicos,Cambio de salones ,"Muy mal cambio, innecesario andar buscando salones en otros edificios y moviéndose de pisos ",Dirección,,,,,,
8/25/2025 11:36:38,Sugerencia,Actividad,Clase,"Me gustó la actividad, pero no me gustó que los grupos de otras carreras estén combinados ",Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:47,Sugerencia,Actividad curricular ,Clase ,Muy buena actividad integradora me gustó la dinámica ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:48,Felicitación,Actividad,Actividad integradora,Estuvo padre la actividad ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:36:51,Felicitación,Planeación Didáctica,Acticidad de la profesora,"Felicidades por una actividad movida, me obligo a hablar con alguien",Subdirección de Servicios Educativos e Integración Social,,,,,,
8/25/2025 11:36:55,Felicitación,Mantenimiento de la Infraestructura Física,Actividad,Las instalaciones están muy bien cuidadas,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:38:08,Felicitación,Servicio Social,inscripción como tutor en el taller de nivelación,"El proceso fue llevado a cabo de manera práctica y eficiente. La descripción del taller por parte de la profesora Elsa fue muy clara, en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica ",Departamento de Formación Básica,,,,,,
8/25/2025 11:38:12,Sugerencia,Mantenimiento de la Infraestructura Física,Mantenimiento de contactos de luz,Hay algunos contactos de luz en el edificio de IA que no sirven o que tienen falso contacto ,Unidad de Informática,,,,,,
8/25/2025 11:38:52,Felicitación,Inscripción,Inscripción,Muy buena la administración ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:39:00,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,Internet ,Mejorar los servicios de internet sobre todo en los salones de abajo ,Subdirección Administrativa,,,,,,
8/25/2025 11:39:34,Sugerencia,Mantenimiento de la Infraestructura Física,Los servicios de Internet son deficientes ,Queja ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:41:27,Sugerencia,Reinscripción,Cupos,Pongan más cupos para los regulares,Departamento de Gestión Escolar,,,,,,
8/25/2025 11:41:58,Queja,Inscripción,Inscribirme ,Errores masivos para inscripción ,Departamento de Gestión Escolar,,,,,,
8/25/2025 11:42:06,Queja,Trámite de Documentos de Gestión Escolar,Los trámites de constancias son muy lentos,Queja,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:42:11,Sugerencia,Atención ,Atención Escolar ,Consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 11:43:50,Felicitación,Clase,Felicitación ,Una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución. ,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/25/2025 18:34:53,Sugerencia,Trámite de Documentos de Gestión Escolar,Cambio de carrera,Mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento.,Dirección,,,,,,
8/25/2025 21:36:25,Felicitación,Préstamo de Equipo Informático,Uso libre de computadoras ,Buena actitud y disponibilidad todas las veces que he ido.,Unidad de Informática,,,,,,
8/26/2025 10:05:46,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,"Buena actitud, siempre tienen buena actitud ",Unidad de Informática,,,,,,
8/26/2025 11:14:37,Sugerencia,Reinscripción,reinscripción,Hay problemas de horario al momento de la reinscripción,Subdirección Administrativa,,,,,,
8/26/2025 11:20:08,Queja,Mantenimiento de la Infraestructura Física,WiFi que no funciona en palapas de IA y todo el edificio 4,"No funciona nada bien el WiFi de las palapas de IA, urge lo reparen ya que se ocupa para hacer tareas, trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet, no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar.",Unidad de Informática,,,,,,
8/26/2025 11:22:07,Felicitación,Control de Información Documentada,TT ,Buen servicio ,Departamento de Formación Integral e Institucional (La CATT es parte de este Depto.),,,,,,
8/26/2025 11:22:24,Sugerencia,Apoyo extraordinario,Tiempo del apoyo,Finalizó el semestre y no habían realizado la dispersión de fondos ,Departamento de Extensión y Apoyos Educativos,,,,,,
8/26/2025 11:23:02,Queja,Cafeterías ,Cafeterías de la escuela ,"Queja sobre las cafeterías que no ofrecen buenos productos ni alimentos, por lo que muchos optan por comida fuera más costosa, me gustaría que se pudiera armar como en otras escuelas un comedor comunitario? No sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante ",Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/26/2025 11:23:05,Sugerencia,Reinscripción,Inscribir materias,"Siento que sería buena idea que dejaran inscribir materias del semestre en el que estás, es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre (pero solo cuando sea una materia del semestre más bajo) ",Departamento de Gestión Escolar,,,,,,
8/26/2025 11:23:23,Sugerencia,Reinscripción,Pocos grupos para IA a partir de tercer semestre,"Muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8, porque se acaban muy rapido los pocos lugares, más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos.

También siempre que nos reinscribimos aparecen varios profesor como ""sin asignar"" al momento de hacer nuestro horario.",Subdirección Académica,,,,,,
8/26/2025 11:23:27,Sugerencia,Apoyo extraordinario,Apoyo extraordinario ,Dispersión de apoyo extraordinario despues del terminal el ciclo escolar,Departamento de Extensión y Apoyos Educativos,,,,,,
8/26/2025 11:23:41,Queja,Ninguno,Internet,"Específicamente en el edificio de IA la red de internet es muy deficiente, muchas veces hemos tenido la necesidad de este y no nos es posible.",Unidad de Informática,,,,,,
8/26/2025 11:24:59,Sugerencia,Funcionamiento de la red de internet en la escuela ,Intermitencia en el servicio de internet ,"El servicio de internet es intermitente, no es constante y en ocasiones no funciona como debería ",Unidad de Informática,,,,,,
8/26/2025 11:24:59,Sugerencia,Trámite de Documentos de Gestión Escolar,Constancia de inscripción y constancia de estudios ,"Pedí constancia de estudios y de inscripción, y no me deja bajarlas del Saes ",Departamento de Gestión Escolar,,,,,,
8/26/2025 11:25:50,Sugerencia,Revisión de actividades,Acudí para la revisión de mi evaluación y se me dificultó encontrar al profesor,Facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo,Departamento de Formación Básica,,,,,,
8/26/2025 11:54:09,Sugerencia,Reinscripción,Inscripción de unidades de aprendizaje ,Deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia ,Subdirección Académica,,,,,,
8/26/2025 13:29:15,Queja,Gestión de la Encuesta del Desempeño Docente,Evaluación Docente,"No parece haber un interés en las encuestas, se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas, la escuela sigue asignándoles muchos grupos. ",Departamento de Gestión Escolar,,,,,,
8/26/2025 16:20:00,Felicitación,Trámite de Documentos de Gestión Escolar,Pedir el FUA,"Fue muy rápido el proceso y fue amable la persona que me atendió, incluso me ayudó ya que no tenía tanto tiempo para entregar el FUA",Departamento de Gestión Escolar,,,,,,
8/26/2025 18:21:56,Queja,Trámite de Documentos de Gestión Escolar,Constancia de estudios para refrendo de beca,El que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad,Subdirección Académica,,,,,,
8/26/2025 21:06:11,Queja,Gestión del Diseño de Programas de Estudio,Actividad,deben de haber más grupos y opciones para ia y lcd,Unidad de Tecnología Educativa y Campus Virtual,,,,,,
8/27/2025 6:41:14,Sugerencia,Mantenimiento de la Infraestructura Física,Internet general,"Me gustaría sugerir que ya que el Poli tiene contratado un buen internet, pero le cuesta servirlo a la comunidad de manea eficiente. He observado que una de las maneras más prácticas es distribuirlo de manera más uniforme, es decir, tener más módems a los que conectarnos, esto evita la saturación y mejora la calidad en horas pico. Lo ideal sería uno por salón con WiFi 6, pero ya dependería del presupuesto. Realmente el problema es que no de puede usar cuando se necesita, cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez, e incluso la cobertura falla en algunos salones de IA del 1er piso. Siento que si no se puede cambiar el sistema a uno como la UNAM por lo menos se puede resolver así.",Unidad de Informática,,,,,,
8/27/2025 10:11:37,Felicitación,Gestión del Diseño Curricular de Programas Académicos,. ,.,Dirección,,,,,,
